name,rate,location,cuisines,approx_cost(for two people)
Smoor,3.6/5,Bannerghatta Road,"Desserts, Cafe, Beverages",900
New Shanthi Sagar,,BTM,"South Indian, North Indian, Chinese, Street Food",300
The Hot Cafe,3.2/5,Kumaraswamy Layout,Fast Food,300
Joey's,3.7/5,BTM,"Chinese, Fast Food",300
Dilish Kitchens,3.7/5,BTM,"North Indian, Chinese",500
Aami Kolkata,3.3/5,Bannerghatta Road,Bengali,600
Guru Garden,2.9/5,Bannerghatta Road,"North Indian, Chinese",450
Divina - Eden Park Restaurants,4.0/5,Jayanagar,Desserts,400
Lakshmi Sweets,,Jayanagar,Mithai,250
Tasty Corner Veg And Non Veg,,Kumaraswamy Layout,"North Indian, South Indian, Chinese",400
Shree Manjunatha Bar and Restaurant,3.4/5,Kanakapura Road,"North Indian, South Indian, Chinese",550
Shee-Sha Cafe,3.6/5,Bannerghatta Road,"Cafe, North Indian, Chinese, Continental",800
Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3.9/5,Kumaraswamy Layout,"Cafe, Chinese, Arabian",550
Crave Bite,3.6/5,Jayanagar,"Chinese, Italian, Fast Food, Momos",400
UNIK Food,3.3/5,Jayanagar,"North Indian, Chinese",300
Sultan's Biryani,3.0/5,Bannerghatta Road,"Biryani, North Indian",700
Hearts Unlock Cafe,3.2/5,BTM,"Cafe, Healthy Food",500
Blue Berry Restaurant,2.9/5,BTM,"North Indian, Kerala, Chinese",600
4671 Indian Coastal Cuisine,,Bannerghatta Road,"Seafood, Mangalorean, Kerala",600
Bangali Babu Restaurant,,BTM,"Mithai, Desserts, Fast Food",250
Eat N Pack,,BTM,Kerala,150
RICE BAR,3.1/5,Bannerghatta Road,"North Indian, Biryani",500
Pizza Da Dhaba,3.2/5,Bannerghatta Road,"Fast Food, Pizza",400
Resto,3.7/5,Bannerghatta Road,"Chinese, North Indian, Fast Food, Momos",350
Shaahi Mezbaan Restaurant,3.1/5,BTM,North Indian,350
Day N Night Kitchen,3.2/5,BTM,"Biryani, Chinese, North Indian",450
Mom's Momos,3.3/5,Bannerghatta Road,Chinese,300
Aishwarya Parkland,2.9/5,Bannerghatta Road,"Chinese, North Indian",500
Slice of Spice,3.1/5,Bannerghatta Road,"North Indian, Chinese",400
Bao and Rolls,3.6/5,Bannerghatta Road,"Rolls, Kebab, Fast Food",250
Snaxup Restaurant,3.5/5,BTM,"North Indian, Fast Food, Beverages",300
Lord of Combos,,Jayanagar,North Indian,500
Iyengar's Cakes and Cookies,,Bannerghatta Road,Bakery,200
The Chef Restaurant,,BTM,"North Indian, Chinese, South Indian",600
Sai Samosa & Chat Corner,3.3/5,Bannerghatta Road,"Fast Food, Street Food",200
Chocolate Junction,,Bannerghatta Road,Desserts,200
Juice Tree,,Kumaraswamy Layout,"Juices, Fast Food",150
Juice And Joy,,Jayanagar,"Beverages, Fast Food",150
Udupi Thadka,,BTM,"South Indian, Chinese, North Indian",250
Pabrai's Fresh and Naturelle Icecreams,3.7/5,BTM,"Ice Cream, Desserts",300
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,3.5/5,BTM,"Chinese, North Indian, Biryani",550
MOYASS,,Bannerghatta Road,"South Indian, Kerala",600
Top Foam Parantha Roll & Juice Centre,3.5/5,BTM,"North Indian, Chinese, Fast Food, Rolls",300
Shri Lakshami Venkateshwara Iyengar's Bakery,3.5/5,Kumaraswamy Layout,Bakery,250
Tandoor Hut,2.2/5,Bannerghatta Road,"North Indian, Chinese",750
Aha Juice Bar,3.6/5,BTM,"Beverages, Fast Food",200
Shree Maruthi Sweets,3.2/5,Kumaraswamy Layout,"Mithai, Street Food",250
Ballava,3.3/5,Bannerghatta Road,"North Indian, South Indian",400
Cafe Club Kerala Restaurant,,BTM,Kerala,300
Sapid,,Bannerghatta Road,North Indian,250
Sapid.in,,Bannerghatta Road,North Indian,350
Hotel Muthu,,Bannerghatta Road,South Indian,200
Hotel Shyam Mangalam & Catering Service,,Bannerghatta Road,"South Indian, North Indian, Oriya",400
Watheen Nuts,,BTM,Desserts,400
Thalassery Food Court,3.1/5,Bannerghatta Road,"Kerala, Arabian, Seafood, Beverages",650
House Of Candy,,Bannerghatta Road,Desserts,200
Kolkata Kati Rolls,2.9/5,Jayanagar,"Fast Food, Rolls",200
Sandwich Mamas,3.2/5,Bannerghatta Road,Fast Food,300
Foodiction,,Electronic City,"North Indian, Fast Food, Chinese, Burger",500
Hotel Lakshmi Paradise,3.3/5,Bannerghatta Road,"North Indian, Mughlai",400
Kamat,,Bannerghatta Road,"South Indian, Fast Food",300
Jugz Cafe,,Bannerghatta Road,South Indian,250
Taste Of Home,,Bannerghatta Road,"South Indian, North Indian, Chinese",300
New Kabab Plaza,NEW,BTM,"Biryani, North Indian",300
Dastarkhan,NEW,Bannerghatta Road,Mughlai,400
I-Scoop Cafe,NEW,Jayanagar,"Fast Food, Pizza, Desserts",300
Sri Banashankari Biryani Kabab Centre,,Bannerghatta Road,"Biryani, Fast Food",100
The Sandesh Factory,3.2/5,Bannerghatta Road,"Mithai, Desserts",150
Natha & Lobo's,,Jayanagar,"Chinese, North Indian",500
Sri Basaveshwara Rotti Oota,,Jayanagar,"South Indian, Fast Food",200
Sofiya Cakes,,BTM,"Bakery, Desserts",300
Wow Vada Pav,,Bannerghatta Road,"Fast Food, Street Food",150
Magadh Jalpan,,Bannerghatta Road,Street Food,200
Candy Cake,,Jayanagar,Bakery,500
Y Not Shawarma,,BTM,Arabian,300
Dhe Chef Cafe,,BTM,"North Indian, Rolls",200
Kopper Pot,,Bannerghatta Road,Bakery,500
Tandoor Plaza,,Bannerghatta Road,North Indian,500
The Table,,Jayanagar,"Bakery, Desserts",400
Foodies Club,3.4/5,BTM,"South Indian, Chinese, North Indian, Sandwich, Rolls",300
Chef Snow,,Bannerghatta Road,"North Indian, Chinese",300
It's My Meal Food Service,,HSR,"North Indian, Chinese",300
Udupi Biriyani Point,,Bannerghatta Road,"North Indian, South Indian",190
Fresh Code,,Bannerghatta Road,"Chinese, North Indian",300
A-1 Chicken Biriyani & Kababs,,Bannerghatta Road,Mughlai,200
The Ocean Kitchen,NEW,Bannerghatta Road,"North Indian, Chinese, Seafood, South Indian",200
Smooth,NEW,Bannerghatta Road,"Desserts, Ice Cream",200
The Denny's,3.7/5,Jayanagar,"North Indian, Chinese",900
Ammi's Biryani,2.4/5,Bannerghatta Road,"Biryani, North Indian",500
Bhukkad,3.1/5,Bannerghatta Road,"Healthy Food, Fast Food",250
Bay Root,3.7/5,BTM,"North Indian, Arabian",400
Ambur Hotel,,Bannerghatta Road,South Indian,250
BTM Cakes,3.3/5,BTM,"Bakery, Desserts",400
Vasudev Adiga's,2.3/5,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food",250
Marunadan Kada,3.3/5,BTM,"Kerala, Tea",250
Chaska Bun,,BTM,Fast Food,
Shiv Sagar,3.6/5,Bannerghatta Road,"South Indian, Beverages",400
Davanagere Benne Dosa,NEW,Jayanagar,South Indian,150
Amjad Bhai's Star Hotel - Home Food Only,NEW,BTM,"North Indian, South Indian",300
Kamat Swaad,3.9/5,JP Nagar,"South Indian, North Indian, Chinese",400
Al Khaleej Snacks Corner,NEW,Jayanagar,"Lebanese, Fast Food, Beverages",200
Sk Grand Hotel,3.2/5,Jayanagar,South Indian,400
Chefie,3.3/5,JP Nagar,"Continental, Fast Food, Italian, North Indian",200
Red Chilli,,BTM,"Chinese, Biryani",400
Melting Pot at Woodrose,3.7/5,JP Nagar,North Indian,800
Kanhaiyas,3.6/5,Bannerghatta Road,South Indian,150
Juice Lounge,3.1/5,BTM,"Beverages, Healthy Food",250
Sri Krishna Delight,,BTM,"North Indian, South Indian",250
Dakshin Food Palace,3.7/5,JP Nagar,"South Indian, North Indian, Chinese",450
Mumbai Kulfi,,Marathahalli,"Desserts, Ice Cream",200
Tandoor Nation,3.0/5,BTM,"North Indian, Chinese",400
Indian Kitchen Eateries-IKE,3.4/5,BTM,Fast Food,150
Sakshi,3.0/5,Bannerghatta Road,"North Indian, Biryani, Chinese, Seafood",550
Darjeeling Momo Adda,3.1/5,Bannerghatta Road,"Chinese, Tibetan, North Indian, Momos",200
Al Habibi Restaurant,3.5/5,BTM,"North Indian, Chinese",300
The Little Kitchen,3.4/5,JP Nagar,"Chinese, North Indian",300
RCS Kitchen,3.3/5,BTM,Continental,500
Special Biriyani,2.9/5,JP Nagar,"North Indian, Biryani",300
Best Shawarmas,,BTM,Rolls,300
Laa Raiba Restaurant,3.3/5,Bannerghatta Road,"Kerala, Chinese, South Indian",300
The Tucck Box,3.4/5,JP Nagar,"Chinese, South Indian",300
Bhavani Upahara,3.3/5,Bannerghatta Road,South Indian,250
Parivar,3.8/5,Jayanagar,"North Indian, Chinese",500
Sampoorna,3.6/5,JP Nagar,"Chinese, North Indian",600
Cafe Mist,3.8/5,JP Nagar,"Cafe, American, Continental, Italian",500
Kesar Restaurant,3.6/5,JP Nagar,"North Indian, Chinese, South Indian",200
Food Singh,,Kumaraswamy Layout,North Indian,500
Hottey Smokey,,JP Nagar,"Asian, Salad, Italian",400
The Duke of Juices,,JP Nagar,"Juices, Beverages, Salad",200
Kababji Cafe,,JP Nagar,"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",300
Sri Balaji Chats and Icecreams,,Bommanahalli,Fast Food,250
Sethi's,,Kumaraswamy Layout,"North Indian, Chinese, BBQ",600
Navab's,,Kumaraswamy Layout,"North Indian, Chinese",600
Delhi Food Factory,,Kumaraswamy Layout,,500
Bullet Biryani,3.2/5,BTM,Biryani,300
Bottle Genie,,JP Nagar,Beverages,250
Lunch & Munch,,BTM,"North Indian, Fast Food, Beverages",500
Biryani Spot,3.5/5,BTM,"South Indian, Biryani",300
Namma Halli Jonne Biryani,3.3/5,Bannerghatta Road,Biryani,300
Rayalaseema Ruchulu,,BTM,"Andhra, North Indian",700
La Passion Cafe,,BTM,Cafe,500
Insta Cafe,2.9/5,BTM,"Cafe, Continental, Pizza, Italian, Beverages",400
Deja Vu Resto Bar,4.4/5,Bannerghatta Road,"North Indian, Italian",900
Bhojan@99,NEW,Bannerghatta Road,Fast Food,200
Hyderabad Express,NEW,Banashankari,"Hyderabadi, Biryani",300
Two Friends Cauldron,4.1/5,JP Nagar,"Continental, Italian, American",700
Slate Cafe,4.1/5,JP Nagar,"Cafe, Sandwich, Burger",600
Mango Greens,3.9/5,JP Nagar,"North Indian, Continental, Chinese",900
Cakewala,4.1/5,JP Nagar,"Bakery, Desserts",500
Dream a Dozen,4.3/5,JP Nagar,"Bakery, Desserts",300
Kanti Sweets,4.0/5,JP Nagar,"Mithai, Street Food",400
Pancuzzi,4.2/5,JP Nagar,"Cafe, Beverages, Desserts",600
Cafe Zuppa,NEW,JP Nagar,"Cafe, Pizza, Fast Food",450
Roll Over,4.1/5,JP Nagar,"Ice Cream, Beverages, Fast Food",500
Polar Bear,4.2/5,JP Nagar,"Ice Cream, Desserts, Beverages, Sandwich",400
Stoned Monkey,3.9/5,JP Nagar,"Desserts, Ice Cream",500
World of Waffles,3.9/5,JP Nagar,Desserts,400
TAB - Take A Break,4.1/5,JP Nagar,"Cafe, Continental, Italian",550
KC Das - Sai Sweets,2.9/5,JP Nagar,"Mithai, Street Food",200
Multi Cakes,3.8/5,JP Nagar,"Bakery, Desserts",200
Amma's Pastries,3.5/5,JP Nagar,Desserts,400
Apsara Ice Cream,4.3/5,JP Nagar,"Ice Cream, Desserts",200
Baskin Robbins,3.9/5,JP Nagar,Ice Cream,250
Cakes And Crumbs,3.4/5,JP Nagar,Bakery,350
Crafted Plate,4.2/5,JP Nagar,"Cafe, Asian, Burger, Continental, Italian, Salad",600
Cafe Hops,3.7/5,JP Nagar,"Desserts, Bakery",300
Cream Stone,4.0/5,JP Nagar,"Desserts, Beverages",500
Me And My Cake,3.1/5,JP Nagar,"Bakery, Desserts",500
Arun Icecreams,3.4/5,JP Nagar,Ice Cream,200
The Cake Zone,NEW,JP Nagar,Bakery,200
Cariocake,3.9/5,JP Nagar,"Bakery, Desserts",350
Bombay Kulfis,,JP Nagar,Ice Cream,200
Sweet Truth,3.8/5,JP Nagar,"Bakery, Desserts",500
Berrylicious,3.8/5,JP Nagar,"Ice Cream, Desserts, Bakery",400
Just Bake,3.4/5,JP Nagar,"Bakery, Desserts",400
Daily Bread,3.2/5,JP Nagar,"Bakery, Fast Food, Italian",600
Asha Sweets Centre,3.9/5,JP Nagar,"Mithai, Street Food",250
CakeZone,3.7/5,JP Nagar,"Bakery, Desserts",200
Papacream,3.7/5,JP Nagar,"Desserts, Ice Cream",350
Venkateshwara Sweets and Restaurant,3.6/5,JP Nagar,"South Indian, Mithai, Chinese, North Indian",400
Cake Art,2.9/5,JP Nagar,Bakery,400
Calvin's,2.9/5,JP Nagar,"Desserts, Italian, Pizza",800
Mr. Meetharam,3.2/5,JP Nagar,"Mithai, Street Food",150
Keventers,3.9/5,JP Nagar,"Desserts, Beverages, Ice Cream",400
Taaza Mithai,3.9/5,JP Nagar,"Mithai, Street Food",100
Mini Forest,3.3/5,JP Nagar,"Fast Food, Desserts",500
Good Bread,3.6/5,JP Nagar,"Bakery, Desserts",300
Kulfi & More,3.3/5,JP Nagar,"Ice Cream, Beverages",200
"Malnad Blossom, Coffee & Cream",3.8/5,JP Nagar,Cafe,300
Bake My Day,,JP Nagar,"Bakery, Desserts","1,000"
The Cake Ville,3.2/5,JP Nagar,"Bakery, Desserts, Fast Food",300
Delhi Sweets,3.1/5,JP Nagar,"Street Food, Mithai",100
M. R. G Sweets Angadi,3.3/5,JP Nagar,"Street Food, Mithai",150
Cakeship,,JP Nagar,"Bakery, Desserts",200
Sweet Melts,,JP Nagar,"Desserts, Ice Cream",400
Bake Addiction,4.1/5,JP Nagar,"Bakery, Desserts",500
Bombay Kulfi,3.7/5,JP Nagar,"Desserts, Ice Cream",150
Havmor,3.5/5,JP Nagar,"Ice Cream, Desserts",200
INDULGE by InnerChef,,JP Nagar,"Desserts, Bakery",400
Dairy Day Corner,,JP Nagar,"Ice Cream, Desserts, Fast Food",200
Frozen Bottle,3.7/5,JP Nagar,"Beverages, Desserts, Ice Cream",400
Happiness Bars,3.2/5,JP Nagar,Desserts,500
Cake N Cookies,,JP Nagar,Bakery,350
Iyengar's Bakery,,JP Nagar,"Bakery, Fast Food",600
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,3.5/5,JP Nagar,"Bakery, Desserts",250
Flying Cakes,,JP Nagar,Bakery,500
DG Juice Club,,JP Nagar,"Beverages, Desserts",250
Iyengar Cake Bites,,JP Nagar,Bakery,450
Home Treats,,JP Nagar,"Bakery, Desserts",250
90's Cafe,NEW,JP Nagar,"Fast Food, Burger",500
Ice Land,3.6/5,JP Nagar,"Ice Cream, Desserts",300
Mumbai Kulfi,,JP Nagar,"Desserts, Ice Cream",200
Lassi Shop,,JP Nagar,"Ice Cream, Beverages",80
The Chocolate Room,3.9/5,JP Nagar,"Cafe, Desserts",400
The Cake Shop Mayura,3.6/5,JP Nagar,"Bakery, Desserts",800
Artinci Artisanal Ice Cream,NEW,JP Nagar,"Desserts, Ice Cream",300
Natural Ice Cream,4.3/5,Bannerghatta Road,"Ice Cream, Beverages",200
WAFL,4.0/5,Bannerghatta Road,"Cafe, Fast Food, Desserts, Beverages",400
Cold Stone Creamery,3.9/5,Bannerghatta Road,"Ice Cream, Desserts",400
Bake-ooh,3.7/5,Bannerghatta Road,Bakery,350
Krispy Kreme,3.7/5,Bannerghatta Road,"Desserts, Beverages",300
Smoor,3.6/5,Bannerghatta Road,"Desserts, Cafe, Beverages",900
L J Iyengar Bakery,3.2/5,Bannerghatta Road,Bakery,100
Nandhana Mithai,,Bannerghatta Road,"Mithai, Desserts",500
Lyengar's Cakes N Cookies,,Bannerghatta Road,"Bakery, Desserts",400
Sweet Chariot,2.8/5,Bannerghatta Road,"Bakery, Fast Food",500
The French Loaf,2.9/5,Bannerghatta Road,"Bakery, Desserts, Sandwich",400
Bikaneri Sweets,3.4/5,Bannerghatta Road,"Mithai, Street Food",250
Ooty Dreams,,Bannerghatta Road,"Desserts, Ice Cream",250
Cakeport,,Bannerghatta Road,Bakery,400
Antilla Aromas,3.7/5,Bannerghatta Road,"Desserts, Ice Cream",300
Iyengar's Cakes and Cookies,,Bannerghatta Road,Bakery,200
Mist n Creams,3.6/5,Bannerghatta Road,Ice Cream,400
Chocolate Junction,,Bannerghatta Road,Desserts,200
Orchard Fresh,,Bannerghatta Road,"Ice Cream, Desserts",400
Rock On Rolls & Parathas,,Bannerghatta Road,Rolls,250
Cafe Choco Craze,3.7/5,Bannerghatta Road,"Cafe, Fast Food, Desserts",400
Squeez Juice Bars,3.1/5,Bannerghatta Road,"Ice Cream, Juices",250
The Sandesh Factory,3.2/5,Bannerghatta Road,"Mithai, Desserts",150
Kopper Pot,,Bannerghatta Road,Bakery,500
Smooth,NEW,Bannerghatta Road,"Desserts, Ice Cream",200
Cookie Man,NEW,Bannerghatta Road,Bakery,150
Oven Fresh,,Bannerghatta Road,"Bakery, Fast Food",600
Mad Over Donuts,,Bannerghatta Road,"Bakery, Desserts, Beverages",450
Milano Ice Cream,4.5/5,Jayanagar,"Ice Cream, Desserts",400
Thyme & Whisk,3.9/5,Jayanagar,"Asian, Chinese, Continental, Italian",800
Corner House Ice Cream,4.4/5,Jayanagar,"Ice Cream, Desserts",400
Tempteys,4.2/5,BTM,Beverages,500
Bubblewrap Waffle Co.,4.4/5,Jayanagar,"Desserts, Beverages",400
Desi Rasoi,3.8/5,Jayanagar,"Biryani, North Indian, Chinese, Rajasthani",600
Ice Cream Works,4.1/5,Jayanagar,"Desserts, Ice Cream",300
The Ganache Factory,4.2/5,Jayanagar,"Desserts, Bakery",400
Starbucks,4.1/5,Jayanagar,"Cafe, Desserts",700
Shri Ram Sweet Centre,4.0/5,BTM,"Street Food, Mithai",150
Waffle Stories,4.0/5,BTM,"Desserts, Beverages",300
Iyengar Bakery,3.7/5,Jayanagar,"Bakery, Fast Food, Desserts, Beverages",200
Bun Town,4.0/5,BTM,"Cafe, Bakery",500
Healthy Bakes 'n' Brew,,Jayanagar,Bakery,150
Tummy Fuel,4.2/5,Jayanagar,"Cafe, Beverages, Fast Food",400
Bakers77,4.0/5,Jayanagar,"Bakery, Fast Food",400
Warm Oven,3.9/5,BTM,"Bakery, Desserts",500
LayerBite,3.8/5,BTM,"Bakery, Desserts, Beverages",450
Ibaco,4.0/5,Jayanagar,Desserts,300
Baker's Glove,3.4/5,Jayanagar,"Desserts, Bakery",550
Ice Stone Creamery,3.7/5,Jayanagar,"Desserts, Ice Cream",400
Sri Venkateshwara Sweet Meat Stall,4.1/5,Jayanagar,Street Food,250
Bunny Bakers,3.6/5,Jayanagar,"Bakery, Fast Food",250
Sri Devi Baker's,3.9/5,BTM,"Bakery, Street Food",200
Juice Shop,3.6/5,BTM,"Juices, Beverages, Ice Cream",150
BTM Cakes,3.3/5,BTM,"Bakery, Desserts",400
Freeze It,3.6/5,BTM,Ice Cream,300
Divina - Eden Park Restaurants,4.0/5,Jayanagar,Desserts,400
Lakshmi Sweets,,Jayanagar,Mithai,250
Shagun Sweets & Foods,3.5/5,BTM,"Mithai, North Indian, Street Food, Chinese",400
Jodhpur Sweets,2.9/5,Jayanagar,"Mithai, Street Food, Rajasthani",150
Fudge,3.2/5,Jayanagar,"Desserts, Momos",200
Cake Chemistry,NEW,Jayanagar,"Bakery, Desserts",500
Fitbakes,3.6/5,Jayanagar,"Bakery, Healthy Food",400
Bangali Babu Restaurant,,BTM,"Mithai, Desserts, Fast Food",250
Gelato Pazzo,3.8/5,BTM,Desserts,200
A1 Express,,Jayanagar,Bakery,300
Wow Lassi House,,BTM,"Beverages, Desserts",200
Kulfreeze,3.9/5,Jayanagar,"Ice Cream, Desserts",200
Adiga Sweets,,Jayanagar,"Mithai, Beverages",200
Juice And Joy,,Jayanagar,"Beverages, Fast Food",150
World Of Sweets And Cakes,,Jayanagar,"Bakery, Mithai",200
Heritage Cafe,3.6/5,Jayanagar,"Fast Food, Tea",200
Pabrai's Fresh and Naturelle Icecreams,3.7/5,BTM,"Ice Cream, Desserts",300
Shri Lakshami Venkateshwara Iyengar's Bakery,3.5/5,Kumaraswamy Layout,Bakery,250
Shree Maruthi Sweets,3.2/5,Kumaraswamy Layout,"Mithai, Street Food",250
Watheen Nuts,,BTM,Desserts,400
Mother Nature Kulfi,3.6/5,Jayanagar,"Desserts, Ice Cream",200
Dessi Cuppa,NEW,Kumaraswamy Layout,Drinks Only,150
Cafe Coffee Day,3.5/5,Jayanagar,"Cafe, Fast Food",900
Sofiya Cakes,,BTM,"Bakery, Desserts",300
Candy Cake,,Jayanagar,Bakery,500
The Table,,Jayanagar,"Bakery, Desserts",400
Sree Balaji Sweets Shop,,HSR,"Mithai, Street Food",250
Mumbai Kulfi,,Marathahalli,"Desserts, Ice Cream",200
Rock Stone Ice Cream Factory,4.0/5,BTM,Ice Cream,230
Pop Hop,4.1/5,Jayanagar,"Ice Cream, Desserts",300
Crumb Together,4.1/5,JP Nagar,"Continental, Finger Food, North Indian, Chinese","1,200"
The Pump House,4.3/5,JP Nagar,"Continental, Finger Food","1,500"
Brahma Brews,NEW,JP Nagar,"Continental, South Indian, Finger Food, Pizza, Seafood","1,400"
Levitate Brewery and Kitchen,NEW,JP Nagar,"Finger Food, North Indian, Continental","1,500"
Hakuna Matata,4.5/5,JP Nagar,"North Indian, Asian, Seafood, Chinese","1,200"
Barbeque Nation,4.7/5,JP Nagar,"North Indian, European, Mediterranean, BBQ, Kebab","1,600"
Sattvam,4.3/5,JP Nagar,"North Indian, South Indian","1,200"
Brewsky,4.3/5,JP Nagar,"Continental, American","1,600"
Village - The Soul of India,4.1/5,JP Nagar,"Rajasthani, Gujarati, North Indian, South Indian","1,000"
Three Dots & A Dash,4.3/5,JP Nagar,"European, Continental","1,500"
Hunger Camp,4.6/5,JP Nagar,"North Indian, South Indian, Chinese, Seafood","1,300"
Kesariya,4.2/5,JP Nagar,Rajasthani,"1,200"
Stories,4.2/5,JP Nagar,"American, Chinese, Continental, North Indian","1,200"
24th Main,4.1/5,JP Nagar,"North Indian, South Indian, Chinese",800
55 Wall Street,3.9/5,JP Nagar,"Finger Food, North Indian, Chinese","1,300"
Le Arabia,NEW,JP Nagar,"North Indian, Mughlai",600
Chulha Chauki Da Dhaba,4.3/5,JP Nagar,North Indian,800
Zaitoon,4.1/5,JP Nagar,"BBQ, Arabian, Chinese, North Indian, Desserts","1,000"
1441 Pizzeria,4.1/5,JP Nagar,"Pizza, Salad",800
The Underpass Pub & Grub,4.0/5,JP Nagar,"Finger Food, Continental, North Indian, Chinese","1,500"
Paradise,4.0/5,JP Nagar,"Biryani, North Indian, Kebab",800
Checkpost,4.1/5,JP Nagar,"South Indian, Seafood, North Indian, Beverages",600
Baba Chatkora,NEW,JP Nagar,North Indian,"1,000"
Mani's Dum Biryani,4.2/5,JP Nagar,"Biryani, Kebab",750
Bottle Breacher,4.1/5,JP Nagar,"Italian, Continental","1,200"
Two Friends Cauldron,4.1/5,JP Nagar,"Continental, Italian, American",700
Nandhana Palace,4.3/5,JP Nagar,"Andhra, Biryani, North Indian, Chinese",800
The Coastal Crew by Fujian on 24th,4.2/5,JP Nagar,"Chinese, Thai, Seafood, North Indian, Momos","1,100"
Rajdhani Thali Restaurant,3.9/5,JP Nagar,North Indian,900
Dr. Sheesha,4.1/5,JP Nagar,"Cafe, Chinese, Continental, Italian",800
Nourich,NEW,JP Nagar,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",800
Tandoor And Spice,4.0/5,JP Nagar,"North Indian, Chinese, Biryani, Hyderabadi",550
Watson's,4.0/5,JP Nagar,"Finger Food, Chinese, Continental","1,300"
Karavali Grand,NEW,JP Nagar,"North Indian, Seafood",600
Churchill's,4.1/5,JP Nagar,"North Indian, Continental","1,100"
Skyline Pizzeria,3.9/5,JP Nagar,"Cafe, Bakery, Italian",600
The Chervil,4.1/5,JP Nagar,"North Indian, Continental","1,000"
Mango Greens,3.9/5,JP Nagar,"North Indian, Continental, Chinese",900
Andhra Ruchulu,4.2/5,JP Nagar,"Andhra, North Indian",800
Mango Tree- The Beer Garden,4.1/5,JP Nagar,"North Indian, Chinese, Continental","1,200"
Caffe Pascucci,4.0/5,JP Nagar,"Continental, Italian, Beverages","1,300"
Casa Piccosa,4.1/5,JP Nagar,"South American, Continental, Italian","1,100"
Nandhini Paradise,3.8/5,JP Nagar,North Indian,600
D View Cafe,4.0/5,JP Nagar,"Cafe, Italian, Chinese, Beverages","1,000"
Oye Amritsar,3.8/5,JP Nagar,North Indian,600
Machali Port,3.9/5,JP Nagar,"Mangalorean, Seafood, North Indian",750
Melt - Eden Park,4.0/5,JP Nagar,"North Indian, Chinese, Thai, Mughlai, Seafood","1,000"
Mockaholic Restro Beer Cafe,3.9/5,JP Nagar,"North Indian, Chinese, Pizza, BBQ","1,000"
Mandi,3.8/5,JP Nagar,North Indian,800
Vaathsalya Millet Cafe,4.1/5,JP Nagar,"Healthy Food, South Indian",500
Oogway Express,3.9/5,JP Nagar,"Chinese, Thai, Momos",600
The Egg Factory,4.0/5,JP Nagar,"Continental, American",750
Zhang's - Chinese Restaurant,4.1/5,JP Nagar,"Chinese, Momos",700
Coastal Mama,4.1/5,JP Nagar,"Konkan, Mangalorean, North Indian, Seafood",700
The Jade Kitchen,4.0/5,JP Nagar,"Chinese, Thai",600
Parkview,4.0/5,JP Nagar,"South Indian, North Indian, Chinese",300
Namma Kudla,4.0/5,JP Nagar,"Mangalorean, North Indian, Chinese, Seafood",400
Starbucks,4.2/5,JP Nagar,"Cafe, Desserts",700
Shanghai Court,4.1/5,JP Nagar,"Chinese, Thai",700
Kakal-Kai Ruchi,3.7/5,JP Nagar,"North Indian, South Indian, Chinese",500
Waah Biryani,3.8/5,JP Nagar,"North Indian, Chinese, Biryani",350
Danapani,3.8/5,JP Nagar,"North Indian, South Indian, Chinese",500
Inchara,3.7/5,JP Nagar,"North Indian, Continental, Chinese",950
Kabab Mehal,3.8/5,JP Nagar,"North Indian, Chinese, Kebab, Juices",400
Adithya,4.0/5,JP Nagar,"South Indian, North Indian, Chinese",450
Blytons,NEW,Hebbal,Bar Food,"1,500"
Bikaner Jn,3.9/5,JP Nagar,Rajasthani,300
Mudpipe Cafe,3.9/5,JP Nagar,"Cafe, Continental, North Indian",800
Anjappar,3.1/5,JP Nagar,"Chettinad, South Indian",650
Pallavi North Indian Veg Restaurant,3.7/5,JP Nagar,"Biryani, North Indian, Chinese",450
Sri Lakshmi Curries & Pickles,2.9/5,JP Nagar,"Andhra, Biryani",400
Drunken Monkey,3.7/5,JP Nagar,"Beverages, Fast Food",400
Bhojohori Manna,3.7/5,JP Nagar,"Bengali, Mughlai",650
Crave Bit Cafe,NEW,JP Nagar,Cafe,600
Nouvelle Garden,3.7/5,JP Nagar,"North Indian, Continental, Italian",900
TAB - Take A Break,4.1/5,JP Nagar,"Cafe, Continental, Italian",550
Chatori Gali,2.9/5,JP Nagar,"North Indian, Street Food",600
Swathi Restaurant,3.8/5,JP Nagar,"Mangalorean, North Indian, Chinese",400
Brundhavana Pure Veg,3.7/5,JP Nagar,"South Indian, North Indian, Chinese, Beverages",500
Beijing Bites,4.0/5,JP Nagar,"Chinese, Thai",850
The Punjabi Rasoi,NEW,JP Nagar,North Indian,800
Gujrati Mess,3.6/5,JP Nagar,Gujarati,200
Onesta,4.4/5,JP Nagar,"Pizza, Cafe, Italian",600
Royal Chef Naati Oota,4.0/5,JP Nagar,"South Indian, Biryani, North Indian",500
